lg,Ganda,lg,lg,ጋንዳኛ,الغاندا,গান্দা,lg,ganda,qanda,lg,ганда,lg,lg,ганда,lg,গান্ডা,lg,ganda,गांडा,ganda,ganda,𑄉𑄚𑄴𑄓,ганда,lg,lg,ᎦᏂᏓ,گاندا,gandština,Ganda,ganda,lg,Ganda,lg,lg,gandšćina,lg,lg,lg,lg,lg,Γκάντα,Ganda,lg,ganda,ganda,luganda,lg,گاندایی,lg,ganda,Ganda,ganda,ganda,lg,Ganda,Lugandais,Ganda,ganda,Ganda-Schpraach,ગાંડા,lg,lg,Ganda,lg,גאנדה,गांडा,ganda,gandšćina,ganda,գանդա,luganda,Ganda,Ganda,lg,ganda,ganda,ガンダ語,lg,lg,Ganda,განდა,lg,lg,lg,luganda,lg,lg,ганда тілі,lg,lg,lg,ហ្កាន់ដា,ಗಾಂಡಾ,간다어,गांडा,گاندا,lg,lg,Lugannda,lugandayî,lg,гандача,lg,Ganda-Sprooch,Luganda,lg,lg,ແກນດາ,گاندا,ganda,lg,lg,lg,gandu,lg,lg,lg,lg,lg,lg,lg,lg,ганда,ഗാണ്ട,ганда,lg,गांडा,Ganda,Ganda,lg,ဂန်ဒါ,گاندا,lg,ganda,lg,गान्डा,Luganda,lg,ganda,lg,ganda,lg,lg,lg,ଗନ୍ଦା,lg,ਗਾਂਡਾ,Gánda Lángwej,ganda,ګانده,luganda,Luganda Simi,ganda,lg,ganda,lg,ганда,lg,lg,lg,lg,lg,lg,lg,ganda,گاندا,lg,lg,lg,lg,lg,ගන්ඩා,gandčina,ganda,luganda,lg,Gandha,gandaisht,ганда,lg,luganda,Kiganda,கான்டா,గాండా,lg,lg,ยูกันดา,ጋንዳ,ganda dili,lea fakakanita,Ganda,lg,lg,lg,گانداچە,ганда,گینڈا,ganda,lg,Tiếng Ganda,lg,lg,lg,lg,lg,lg,lg,Ganda,干達文,lg,卢干达语,isi-Ganda
lkt,Lakota,lkt,lkt,ላኮታ,لاكوتا,লাকোটা,lkt,lakota,lakota,lkt,лакота,lkt,lkt,лакота,lkt,লাকোটা,lkt,lakota,lkt,lakota,lakota,𑄣𑄇𑄮𑄑,лакота,lkt,lkt,ᎳᎪᏓ,لاکۆتا,lakotština,Lakota,lakota,lkt,Lakota,lkt,lkt,lakotšćina,lkt,lkt,lkt,lkt,lkt,Λακότα,Lakota,lkt,lakota,lakota,lakotera,lkt,لاکوتا,lkt,lakota,Lakota,lakota,lakota,lkt,Lakota,Lacótais,Lakhóta,lakota,lkt,લાકોટા,lkt,lkt,Lakota,lkt,לקוטה,लैकोटा,lakota,lakota,lakota,լակոտա,lakota,Lakota,lkt,lkt,lakóta,lakota,ラコタ語,lkt,lkt,Lakota,ლაკოტა,lkt,lkt,lkt,lakota,lkt,lkt,лакота тілі,lkt,lkt,lkt,ឡាកូតា,ಲಕೊಟ,라코타어,लाकोटा,lkt,lkt,lkt,Lakota,lakotayî,lkt,лакотача,lkt,Lakota-Sprooch,lkt,Lakȟólʼiyapi,lkt,ລາໂກຕາ,لاکوٙتا,lakotų,lkt,lkt,lkt,lakotu,lkt,lkt,lkt,lkt,lkt,lkt,lkt,lkt,лакотски,ലഗോത്ത,лакота,lkt,लाकोटा,Lakota,Lakota,lkt,လာကိုတာ,لاکوتا,lkt,lakota,lkt,लाकोता,Lakota,lkt,lakota,lkt,lakota,lkt,lkt,lkt,ଲାକୋଟା,lkt,ਲਕੋਟਾ,Lakótá Lángwej,lakota,لکوټا,lacota,Lakota Simi,lakota,lkt,lakota,lkt,лакота,lkt,lkt,lkt,lkt,lkt,lkt,lkt,lakota,لڪوٽا,lkt,lkt,lkt,lkt,lkt,ලකොට,lakotčina,lakotščina,lakotakielâ,lkt,Laakoota,lakotisht,лакота,lkt,lakota,Kilakota,லகோடா,లకొటా,lkt,lkt,ลาโกตา,ላኮታ,lakota dili,lea fakalakota,Lakotaca,lkt,lkt,lkt,lkt,лакота,لاکوٹا,lakota,lkt,Tiếng Lakota,lkt,lkt,lkt,lkt,lkt,lkt,lkt,Lákota,拉科塔文,lkt,拉科塔语,isi-Lakota
ln,Lingaals,ln,ln,ሊንጋላኛ,اللينجالا,লিংগালা,ln,lingala,linqala,ln,лінгала,ln,ln,лингала,ln,লিঙ্গালা,ln,lingala,लिंगाला,lingala,lingala,𑄣𑄨𑄋𑄴𑄉𑄣,лингала,ln,ln,ᎵᏂᎦᎳ,لينگالا,lingalština,Lingala,lingala,ln,Lingala,ln,ln,lingala,ln,ln,ln,ln,lingala,Λινγκάλα,Lingala,lingala,lingala,lingala,lingala,ln,لینگالا,ln,lingala,Lingala,lingala,lingala,lingala,Lingala,Liongáilis,Lingala,lingala,Lingala,લિંગાલા,ln,ln,Lingala,ln,לינגלה,लिंगाला,lingala,lingala,lingala,լինգալա,lingala,Lingala,Lịngala,ln,lingala,lingala,リンガラ語,ln,ln,Lingala,ლინგალა,ln,ln,ln,lingala,ln,ln,лингала тілі,ln,ln,ln,លីនកាឡា,ಲಿಂಗಾಲ,링갈라어,लिंगाला,لِنگالا,ln,ln,Lingjalla,lingalayî,ln,лингалача,ln,Lingala,ln,ln,lingála,ລິງກາລາ,لینگالا,ngalų,ln,ln,ln,lingala,ln,ln,ln,ln,ln,ln,ln,ln,лингала,ലിംഗാല,лингала,ln,लिंगाला,Lingala,Lingaljan,ln,လင်ဂါလာ,لینگالا,ln,lingala,ln,लिङ्गाला,Lingala,ln,lingala,ln,lingala,ln,ln,ln,ଲିଙ୍ଗାଲା,ln,ਲਿੰਗਾਲਾ,Lingálá Lángwej,lingala,لنګالا,lingala,Lingala Simi,lingala,ln,lingala,ln,лингала,Ilingala,ln,ln,ln,ln,ln,ln,lingala,لنگالا,ln,ln,ln,ln,ln,ලින්ගලා,lingalčina,lingala,lingala,ln,Lingala,lingalisht,лингала,ln,lingala,Kilingala,லிங்காலா,లింగాల,ln,ln,ลิงกาลา,ሊንጋላ,lingala dili,lea lingikala,Lingala,ln,ln,ln,لىنگالاچە,лінгала,لِنگَلا,lingala,ln,Tiếng Lingala,ln,Lingala,ln,ln,ln,ln,ln,Lìǹgálà,林加拉文,ln,林加拉语,isi-Lingala
lo,Lao,lo,lo,ላኦኛ,اللاوية,লাও,lo,laosianu,laos,lo,лаоская,lo,lo,лаоски,lo,লাও,lo,laoseg,लाओसीयन्,laoski,laosià,𑄣𑄃𑄮,лаоссийн,lo,lo,ᎳᎣ,لائۆیی,laoština,Laoeg,lao,lo,Laotisch,lo,lo,laošćina,lo,lo,ལཱ་ཝོས་ཁ,lo,laogbe,Λαοτινά,Lao,laŭa,lao,lao,laosera,lo,لائوسی,lo,lao,Lao,laoskt,lao,lao,Laotiaansk,Laoisis,Làtho,laosiano,Laozisch,લાઓ,lo,lo,Lao,lo,לאו,लाओ,laoski,laošćina,lao,լաոսերեն,laotiano,Lao,Laọ,lo,laó,lao,ラオ語,lo,lo,Laos,ლაოსური,lo,lo,lo,lausianu,lo,lo,лаос тілі,lo,lo,lo,ឡាវ,ಲಾವೋ,라오어,लाओ,لاو,lo,lo,Lahootesch,lawsî,lo,лаочо,lo,Laotesch,lo,Lao Iyápi,lo,ລາວ,لاو,laosiečių,lo,lo,lo,laosiešu,lo,lo,lo,lo,lo,lo,lo,lo,лаошки,ലാവോ,лаос,lo,लाओ,Laos,Laosjan,lo,လာအို,لائویی,lo,laotisk,lo,लाओ,Laotiaans,lo,laotisk,lo,laotisk,lo,lo,lo,ଲାଓ,lo,ਲਾਓ,Láo Lángwej,laotański,لاو,laosiano,Lao Simi,laot,lo,laoțiană,lo,лаосский,Ikilawotiyani,lo,lo,lo,lo,lo,lo,laotianu,لائو,laogiella,lo,lo,lo,lo,ලාඕ,laoština,laoščina,laokielâ,lo,Lao,laosisht,лаоски,lo,laotiska,Kilaosi,லாவோ,లావో,lo,лаосӣ,ลาว,ላኦ,laos dili,lea fakalau,Lao dili,лаос,lo,lo,لائوسچە,лаоська,لاؤ,laos,lo,Tiếng Lào,lo,Laotiš,Laaw,lo,lo,lo,לאַא,Láò,寮文,lo,老挝语,isi-Lao
lrc,Noord-Luri,lrc,lrc,ሰሜናዊ ሉሪ,اللرية الشمالية,উদীচ্য লুৰি,lrc,luri del norte,şimali luri,lrc,паўночная луры,lrc,lrc,северен лури,lrc,উত্তর লুরি,lrc,loureg an Norzh,lrc,sjeverni luri,luri septentrional,𑄅𑄪𑄖𑄴𑄖𑄮𑄢𑄴 𑄣𑄪𑄢𑄨,къилбаседа лури,lrc,lrc,ᏧᏴᏢ ᏗᏜ ᎷᎵ,لوڕیی باکوور,lúrština [severní],Luri Gogleddol,nordluri,lrc,Nördliches Luri,lrc,lrc,sewjerny luri,lrc,lrc,lrc,lrc,lrc,Βόρεια Λούρι,Northern Luri,lrc,lorí septentrional,põhjaluri,iparraldeko lurera,lrc,لری شمالی,lrc,pohjoisluri,Hilagang Luri,norður luri,lori du Nord,lrc,lrc,Lúiris an Tuaiscirt,Luri Thuathach,luri setentrional,lrc,ઉત્તરી લુરી,lrc,lrc,Arewacin Luri,lrc,לורית צפונית,उत्तरी लूरी,sjevernolurski,sewjerny luri,északi luri,հյուսիսային լուրիերեն,luri del nord,Luri Utara,Nọrtụ Lụrị,lrc,norðurlúrí,luri settentrionale,北ロル語,lrc,lrc,Luri Sisih Lor,ჩრდილოეთ ლური,lrc,lrc,lrc,lrc,lrc,lrc,солтүстік люри тілі,lrc,lrc,lrc,លូរីខាងជើង,ಉತ್ತರ ಲೂರಿ,북부 루리어,उत्तरीय लुरी,lrc,lrc,lrc,Nood-Luhresch,luriya bakur,lrc,түндүк луриче,lrc,lrc,lrc,lrc,lrc,ລູຣິ ທາງຕອນເໜືອ,لۊری شومالی,šiaurės luri,lrc,lrc,lrc,ziemeļluru,lrc,lrc,lrc,lrc,lrc,lrc,lrc,lrc,севернолуриски,വടക്കൻ ലൂറി,хойд лури,lrc,उत्तरी ल्युरी,Luri Utara,Luri tat-Tramuntana,lrc,မြောက်လူရီ,شمالی لُری,lrc,nord-luri,lrc,उत्तरी लुरी,Noordelijk Luri,lrc,nord-lurisk,lrc,nord-luri,lrc,lrc,lrc,ଉତ୍ତର ଲୁରି,lrc,ਉੱਤਰੀ ਲੁਰੀ,Nọ́tán Lúrí Lángwej,luryjski północny,شمالي لوری,luri setentrional,Luri septentrional Simi,luri dal nord,lrc,luri de nord,lrc,севернолурский,lrc,lrc,lrc,lrc,lrc,lrc,lrc,frìsonu setentrionale,اتر لوري,lrc,lrc,lrc,lrc,lrc,උතුරු ලුරි,severné luri,severna lurijščina,taveluri,lrc,Luri Waqooyi,lurishte veriore,северни лури,lrc,nordluri,Kiluri cha Kaskazini,வடக்கு லுரி,ఉత్తర లూరీ,lrc,lrc,ลูรีเหนือ,ሰሜናዊ ሉሪ,demirgazyk luri dili,lea fakaluli-tokelau,Kuzey Luri,lrc,lrc,lrc,lrc,північнолурська,شمالی لری,shimoliy luri,lrc,Tiếng Bắc Luri,lrc,lrc,lrc,lrc,lrc,lrc,lrc,Apáàríwá Lúrì,北盧爾文,lrc,北卢尔语,isi-Northern Luri
lt,Litaus,lt,lt,ሉቴንያንኛ,الليتوانية,লিথুৱানিয়ান,lt,lituanu,litva,lt,літоўская,lt,lt,литовски,lt,লিথুয়েনীয়,lt,lituaneg,लिथुआनियन्,litvanski,lituà,𑄣𑄨𑄗𑄪𑄠𑄬𑄚𑄩𑄠𑄧,литвахойн,lt,lt,ᎵᏚᏩᏂᎠᏂ,لیتوانی,litevština,Lithwaneg,litauisk,lt,Litauisch,lt,lt,litawšćina,lt,lt,ལི་ཐུ་ཝེ་ནི་ཡཱན་ཁ,lt,lithuaniagbe,Λιθουανικά,Lithuanian,litova,lituano,leedu,lituaniera,lt,لیتوانیایی,lt,liettua,Lithuanian,litaviskt,lituanien,lituan,Litouws,Liotuáinis,Liotuainis,lituano,Litauisch,લિથુઆનિયન,lt,lt,Lituweniyanci,lt,ליטאית,लिथुआनियाई,litavski,litawšćina,litván,լիտվերեն,lithuano,Lituavi,Lituanian,lt,litháíska,lituano,リトアニア語,lt,lt,Lithuania,ლიეტუვური,lt,lt,lt,lituanu,lt,lt,литва тілі,lt,lt,lt,លីទុយអានី,ಲಿಥುವೇನಿಯನ್,리투아니아어,लिथुआनियन्,لِتھوانِیَن,lt,lt,Littouesch,lîtwanî,lt,литовчо,lt,Litauesch,lt,Lithuania Iyápilt,lt,ລິທົວນຽນ,لیتوڤانیایی,lietuvių,lt,lt,lt,lietuviešu,lt,lt,lt,lt,lt,lt,lt,lt,литвански,ലിത്വാനിയൻ,литва,lt,लिथुआनियन,Lithuania,Litwan,lt,လစ်သူဝေးနီးယား,لتونیایی,lt,litauisk,lt,लिथुआनियाली,Litouws,lt,litauisk,lt,litauisk,lt,lt,Afaan Liituniyaa,ଲିଥୁଆନିଆନ୍,lt,ਲਿਥੁਆਨੀਅਨ,Lituéniá Lángwej,litewski,ليتواني,lituano,Lituano Simi,lituan,lt,lituaniană,lt,литовский,Ikilituwaniya,lt,lt,lt,lt,lt,lt,lituanu,ليٿونيائي,liettuvagiella,lt,lt,lt,lt,ලිතුවේනියානු,litovčina,litovščina,liettuakielâ,lt,Lituwaanays,lituanisht,литвански,lt,litauiska,Kilithuania,லிதுவேனியன்,లిథువేనియన్,lt,литвонӣ,ลิทัวเนีย,ሊትዌንኛ,litwa dili,lea fakalituania,Litvanca,литва,lt,lt,لىتۋانىچە,литовська,لیتھوینین,litva,lt,Tiếng Litva,lt,Litauiš,Lituyaniye,lt,lt,lt,ליטוויש,Èdè Lithuania,立陶宛文,lt,立陶宛语,isi-Lithuanian
lu,Luba-Katanga,lu,lu,ሉባ ካታንጋ,اللوبا كاتانغا,লুবা-কাটাংগা,lu,luba-katanga,luba-katanqa,lu,луба-катанга,lu,lu,луба-катанга,lu,লুবা-কাটাঙ্গা,lu,luba-katanga,लुबा कटांगा,luba-katanga,luba katanga,𑄣𑄪𑄝-𑄇𑄑𑄋𑄴𑄉,луба-катанга,lu,lu,ᎷᏆ-ᎧᏔᎦ,لووبا کاتانگا,lubu-katanžština,Luba-Katanga,luba-Katanga,lu,Luba-Katanga,lu,lu,luba-katanga,lu,lu,lu,lu,lu,Λούμπα-Κατάνγκα,Luba-Katanga,lu,luba-katanga,Katanga luba,Katangako lubera,lu,لوبایی‐کاتانگا,lu,katanganluba,Luba-Katanga,luba-katanga,luba-katanga [kiluba],lu,Luba-Katanga,Lúba-Cataingis,Luba-Katanga,luba-katanga,Luba,લૂબા-કટાંગા,lu,lu,Luba-Katanga,lu,לובה-קטנגה,ल्यूबा-कटांगा,luba-katanga,luba-katanga,luba-katanga,լուբա-կատանգա,luba-katanga,Luba-Katanga,Lịba-Katanga,lu,lúbakatanga,luba-katanga,ルバ・カタンガ語,lu,lu,Luba-Katanga,ლუბა-კატანგა,lu,lu,lu,luba-katanga,lu,lu,луба-катанга тілі,lu,lu,lu,លូបាកាតានហ្គា,ಲೂಬಾ-ಕಟಾಂಗಾ,루바-카탄가어,लुबा-काटांगा,لوُبا کَتَنگا,lu,lu,Kiluba,lu,lu,луба-катангача,lu,Luba-Katanga,lu,lu,lu,ລູບາ-ຄາຕັງກາ,لوٙبا کاتانگا,luba katanga,Tshiluba,lu,lu,lubakatanga,lu,lu,lu,lu,lu,lu,lu,lu,луба-катанга,ലുബ-കറ്റംഗ,луба-катанга,lu,ल्यूबा-कटांगा,Luba-Katanga,Luba-Katanga,lu,လူဘာ-ကတန်ဂါ,لوبا-کاتانگا,lu,luba-katanga,lu,लुबा-काताङ्गा,Luba-Katanga,lu,luba-katanga,lu,luba-katanga,lu,lu,lu,ଲ୍ୟୁବା-କାଟାଙ୍ଗା,lu,ਲੂਬਾ-ਕਾਟਾਂਗਾ,Lúbá-Katángá Lángwej,luba-katanga,لوبا-کټنګا,luba-catanga,Luba-Katanga Simi,luba-katanga,lu,luba-katanga,lu,луба-катанга,lu,lu,lu,lu,lu,lu,lu,luba-katanga,لوبا-ڪتانگا,lu,lu,lu,lu,lu,ලුබා-කටන්ගා,lubčina [katanžská],luba-katanga,katangaluba,lu,Luuba-kataanga,luba-katangaisht,луба-катанга,lu,luba-katanga,Kiluba-Katanga,லுபா-கடாங்கா,లూబ-కటాంగ,lu,lu,ลูบา-กาตองกา,ሉባ-ካታንጋ,luba-katanga dili,lea fakalupa-katanga,Luba-Katanga,lu,lu,lu,لۇبا-كاتانگاچە,луба-катанга,لبا-کاتانجا,luba-katanga,lu,Tiếng Luba-Katanga,lu,lu,lu,lu,lu,lu,lu,Lúbà-Katanga,魯巴加丹加文,lu,鲁巴加丹加语,isi-Luba-Katanga
luo,Luo,luo,luo,ሉኦ,اللو,লুও,luo,luo,luo,luo,луо,luo,luo,луо,luo,লুয়ো,luo,luo,लुओ,luo,luo,𑄣𑄪𑄠𑄮,луо [Кени а, Танзани а],luo,luo,ᎷᎣ,لووئۆ,luoština,Lŵo,luo,luo,Luo,luo,luo,luo,luo,luo,luo,luo,luo,Λούο,Luo,luo,luo,luo,luoera,luo,لوئویی,luo,luo,Luo,luo,luo,luo,Luo,Lúóis,Luo,luo,Luo-Schpraach,લ્યુઓ,luo,luo,Luo,luo,לואו,ल्युओ,luo,luo,luo,լուո,luo,Luo,luo,luo,lúó,luo,ルオ語,luo,luo,Luo,ლუო,luo,luo,luo,luo,luo,luo,луо тілі,luo,luo,luo,លូអូ,ಲುವೋ,루오어,लुओ,لُوو,luo,luo,Luo,luo,luo,луочо,luo,Luo-Sprooch,luo,luo,luo,ລົວ,لوٙ,luo,luo,Dholuo,luo,luo,luo,luo,luo,luo,luo,luo,luo,luo,луо,ലുവോ,луо,luo,ल्युओ,Luo,Luo,luo,လူအို,لوئو,luo,luo,luo,लुओ,Luo,luo,luo,luo,luo,luo,luo,luo,ଲୁଓ,luo,ਲੂਓ,Luó Lángwej,luo,لو,luo,Luo Simi,luo,luo,luo,luo,луо,luo,luo,luo,luo,luo,luo,luo,luo,لو,luo,luo,luo,luo,luo,ලුඔ,luo,luo,luo,luo,Luwada,luoisht,луо,luo,luo,Kijaluo,லுயோ,లువో,luo,luo,ลัว,ሉኦ,luo dili,lea fakaluo,Luo,luo,luo,luo,لۇئوچە,луо,لو,luo,luo,Tiếng Luo,luo,luo,luo,luo,luo,luo,luo,luo,盧奧文,luo,卢奥语,isi-Luo
luy,Luyia,luy,luy,ሉዪያ,لغة اللويا,লুইয়া,luy,luyia,luyia,luy,луйя,luy,luy,лухя,luy,লুইয়া,luy,luyia,luy,luhija,luyia,𑄣𑄭𑄪𑄠,лухья,luy,luy,ᎷᏱᎠ,لوویا,luhja,Lwyia,luyana,luy,Luhya,luy,luy,luhya,luy,luy,luy,luy,luyiagbe,Λούχια,Luyia,luy,luyia,luhja,luhyera,luy,لویا,luy,luhya,Luyia,luyia,luyia,luy,Luyia,Luyia,Luyia,luyia,luy,લુઈયા,luy,luy,Luyia,luy,לויה,ल्युईआ,luyia,luhya,lujia,լույա,luyia,Luyia,Lụyịa,luy,luyia,luyia,ルヒヤ語,luy,luy,Luyia,ლუჰია,luy,luy,luy,luyia,luy,luy,лухиа тілі,luy,luy,luy,លូយ៉ា,ಲುಯಿಯ,루야어,लुय,luy,luy,luy,Luhjesch,luy,luy,лухияча,luy,Olulujia,luy,luy,luy,ລູໄຍ,لوٙئیا,luja,luy,luy,Luluhia,luhju,luy,luy,luy,luy,luy,luy,luy,luy,луја,ലുയിയ,луяа,luy,ल्युइया,Luyia,Luyia,luy,လူရီအာ,لوییا,luy,luhya,luy,लुइया,Luyia,luy,olulujia,luy,luhya,luy,luy,luy,ଲୁୟିଆ,luy,ਲੂਈਆ,Luyia Lángwej,luhya,لویا,luyia,Luyia Simi,luyia,luy,luyia,luy,лухья,luy,luy,luy,luy,luy,luy,luy,luyia,لوهيا,luy,luy,luy,luy,luy,ලුයියා,luhja,luhijščina,luhya,luy,Luyia,lujaisht,лујиа,luy,luhya,Kiluhya,லுயியா,లుయియ,luy,luy,ลูเยีย,ሉይያ,luýýa dili,lea fakaluīa,Luyia,luy,luy,luy,لۇياچە,луйя,لویا,luhya,luy,Tiếng Luyia,luy,luy,luy,luy,luy,luy,luy,Luyíà,盧雅文,luy,卢雅语,isi-Luyia
lv,Letties,lv,lv,ላትቪያን,اللاتفية,লাটভিয়ান,lv,letón,latış,lv,латышская,lv,lv,латвийски,lv,লাত্‌ভীয়,lv,latvieg,लाटवियन् [लैट्टीश],latvijski,letó,𑄣𑄖𑄴𑄞𑄩𑄠𑄧,латышийн,lv,lv,ᎳᏘᏫᎠᏂ,لێتۆنی,lotyština,Latfieg,lettisk,lv,Lettisch,lv,lv,letišćina,lv,lv,ལཊ་བི་ཡཱན་ཁ,lv,latviagbe,Λετονικά,Latvian,latva,letón,läti,letoniera,lv,لتونیایی,lv,latvia,Latvian,lettiskt,letton,leton,Letlâns,Laitvis,Laitbheis,letón,Lettisch,લાતવિયન,lv,lv,Latbiyanci,lv,לטבית,लातवियाई,latvijski,letišćina,lett,լատվիերեն,letton,Latvi,Latviani,lv,lettneska,lettone,ラトビア語,lv,lv,Latvia,ლატვიური,lv,lv,lv,letãu,lv,lv,латыш тілі,lv,lv,lv,ឡាតវី,ಲಾಟ್ವಿಯನ್,라트비아어,लाट्वियन् [लेट्टिष्],لَتوِیَن,lv,lv,Lättesch,latviyayî,lv,латышча,lv,Lettesch,lv,Latvia Iyápi,lv,ລັດວຽນ,لاتوڤیایی,latvių,lv,lv,lv,latviešu,lv,lv,lv,lv,lv,lv,lv,lv,латвиски,ലാറ്റ്വിയൻ,латви,lv,लात्व्हियन,Latvia,Latvjan,lv,လတ်ဗီးယား,لاتویایی,lv,latvisk,lv,लात्भियाली,Lets,lv,latvisk,lv,latvisk,lv,lv,Afaan Lativiyaa,ଲାଟଭିଆନ୍,lv,ਲਾਤੀਵੀ,Látvián Lángwej,łotewski,لېټواني,letão,Leton Simi,letton,lv,letonă,lv,латышский,Ikinyaletoviyani,lv,lv,lv,lv,lv,lv,lètone,لاتوين,látviagiella,lv,lv,lv,lv,ලැට්වියානු,lotyština,latvijščina,latviakielâ,lv,Laatfiyaan,letonisht,летонски,lv,lettiska,Kilatvia,லாட்வியன்,లాట్వియన్,lv,латишӣ,ลัตเวีย,ላትቭኛ,latyş dili,lea fakalativia,Letonca,латыш,lv,lv,لاتچە,латиська,لیٹوین,latishcha,lv,Tiếng Latvia,lv,Lettiš,Letoniye,lv,lv,lv,לעטיש,Èdè Latvianu,拉脫維亞文,lv,拉脱维亚语,isi-Latvian
mai,Maithili,mai,mai,ማይተሊ,المايثيلي,মৈথিলী,mai,maithili,maitili,mai,майтхілі,mai,mai,майтхили,mai,মৈথিলি,mai,maithili,मैथीली,maitili,maithili,𑄟𑄳𑄆𑄧𑄗𑄨𑄣𑄨,майтхили,mai,mai,ᎹᏟᎵ,مائیتیلی,maithiliština,Maithili,maithili,mai,Maithili,mai,mai,maithilšćina,mai,mai,mai,mai,mai,Μαϊτχίλι,Maithili,mai,maithili,maithili,maithilera,mai,مایدیلی,mai,maithili,Maithili,maithili,maïthili,mai,Maithili,Maitilis,Maithili,maithili,Maithili,મૈથિલી,mai,mai,Maithili,mai,מאיטילית,मैथिली,maithili,maithilšćina,maithili,մայթիլի,maithili,Maithili,Maịtịlị,mai,maítílí,maithili,マイティリー語,mai,mai,Maithili,მაითილი,mai,mai,mai,mai,mai,mai,майтхили тілі,mai,mai,mai,ម៉ៃធីលី,ಮೈಥಿಲಿ,마이틸리어,मैथिली,میتَھلی,mai,mai,mai,mai,mai,маитиличе,mai,Maithili,mai,mai,mai,ໄມທີລິ,mai,maithili,mai,mai,mai,maithili,मैथिली,mai,mai,mai,mai,mai,mai,mai,маитили,മൈഥിലി,май,mai,मैथिली,Maithili,Maithili,mai,မိုင်သီလီ,mai,mai,maithili,mai,मैथिली,Maithili,mai,maithili,mai,maithili,mai,mai,mai,ମୈଥିଳୀ,mai,ਮੈਥਲੀ,Maítíli,maithili,مایتھلي,maithili,Maithili Simi,maithili,mai,maithili,mai,майтхили,mai,mai,mai,mai,mai,mai,mai,maithili,ميٿلي,mai,mai,mai,mai,mai,මයිතිලි,maithilčina,maitili,maithili,mai,Dadka Maithili,maitilisht,маитили,mai,maithili,Kimaithili,மைதிலி,మైథిలి,mai,mai,ไมถิลี,ማይቲሊ,maýthili dili,lea fakamaitili,Maithili,mai,mai,mai,مايتىلىچە,майтхілі,میتھیلی,maythili,mai,Tiếng Maithili,mai,mai,mai,mai,mai,mai,mai,mai,邁蒂利文,mai,迈蒂利语,isi-Maithili
mas,Masai,mas,mas,ማሳይ,الماساي,মাছাই,mas,masái,masay,mas,маасай,mas,mas,масайски,mas,মাসাই,mas,masai,मसाई,masai,massai,𑄟𑄥𑄭,масаи,mas,mas,ᎹᏌᏱ,ماسایی,masajština,Masai,masai,mas,Massai,mas,mas,masaišćina,mas,mas,mas,mas,mas,Μασάι,Masai,mas,masái,masai,masaiera,mas,ماسایی,mas,maasai,Masai,masai,maasaï,mas,Masai,Másais,Maasai,masai,Massai-Schpraach,મસાઇ,mas,mas,Harshen Masai,mas,מסאית,मसाई,masajski,masaišćina,masai,մասաի,masai,Masai,Masaị,mas,masaí,masai,マサイ語,mas,mas,Masai,მასაი,mas,mas,mas,mas,mas,mas,масай тілі,mas,mas,mas,ម៉ាសៃ,ಮಸಾಯ್,마사이어,मसाई,مَساے,mas,mas,mas,masayî,mas,масайча,mas,Massai-Sprooch,mas,mas,mas,ມາໄຊ,ماسایی,masajų,mas,mas,mas,masaju,mas,Maa,mas,mas,mas,mas,mas,mas,масајски,മസായ്,масай,mas,मसाई,Masai,Masai,mas,မာဆိုင်,ماسایی,mas,masai,mas,मसाई,Maa,mas,masai,mas,masai,mas,mas,mas,ମାସାଇ,mas,ਮਸਾਈ,Masaí Lángwej,masajski,ماسائي,massai,Masai Simi,masai,mas,masai,mas,масаи,mas,mas,mas,mas,mas,mas,mas,masai,مسائي,mas,mas,mas,mas,mas,මසායි,masajčina,masajščina,masaikielâ,mas,Masaay,masaisht,масајски,mas,massajiska,Kimaasai,மாசாய்,మాసై,mas,mas,มาไซ,ማሳይ,masai dili,lea fakamasai,Masai,mas,mas,mas,ماسايچە,масаї,مسائی,masay,mas,Tiếng Masai,mas,mas,mas,mas,mas,mas,mas,Másáì,馬賽文,mas,马赛语,isi-Masai
